trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9048374180359595}",20,0,-141.68659006148567,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.8187307530779818}",25,0,-64.48911772461558,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.7408182206817179}",25,0,-214.3661646228582,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.1, 'e': 0.6703200460356393}",20,0,-74.549926299176,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.6065306597126334}",25,0,-22.147650921983704,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.5488116360940264}",25,0,-98.90545834171137,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.49658530379140947}",20,0,-44.20691566306666,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.44932896411722156}",25,0,-91.61256420848966,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.4065696597405991}",25,0,19.96559389666303,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.36787944117144233}",20,0,-186.6227647992561,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.1, 'e': 0.33287108369807955}",25,0,35.24319020801133,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.301194211912202}",25,0,-167.44932022205916,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.1, 'e': 0.2725317930340126}",30,0,-16.472532144055766,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.24659696394160643}",20,0,14.36161785842301,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.22313016014842982}",20,0,-79.3225324932938,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.20189651799465538}",25,4,25.996928705190257,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.1826835240527346}",35,0,3.476860379101157,"{0: 32, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.16529888822158653}",25,0,1.9710914467453944,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
