trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.64550995409806,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.48958953250819,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.87554449258835,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.41324310677508,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,2,-83.7806137182494,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.09178818061798,"{0: 14, 1: 8, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.45526158701256,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.87766636449412,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.240992883679056,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.76433473060001,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.8347830211905,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.86881349351088,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.5176043192769,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-171.09158894315942,"{0: 24, 1: 5, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.81269411085115,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.08283097182748,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.4491912753108,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-238.89126540014257,"{0: 14, 1: 5, 2: 7, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,6,-96.42695079142123,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.0398967471064,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.0534533029838,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.904980498147395,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.38968997167653,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,11,-77.58619169624936,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.90404281511775,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-104.42002357563487,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.82309770415387,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-278.3613170589906,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.03734524789768,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.80234748467532,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
